10 10     
    2.0303    0.5995   -2.0303    0.5995         0         0         0         0         0         0
    0.5995    0.2360   -0.5995    0.1180         0         0         0         0         0         0
   -2.0303   -0.5995    4.0606         0   -2.0303    0.5995         0         0         0         0
    0.5995    0.1180         0    0.4720   -0.5995    0.1180         0         0         0         0
         0         0   -2.0303   -0.5995    4.0606         0   -2.0303    0.5995         0         0
         0         0    0.5995    0.1180         0    0.4720   -0.5995    0.1180         0         0
         0         0         0         0   -2.0303   -0.5995    4.0606         0   -2.0303    0.5995
         0         0         0         0    0.5995    0.1180         0    0.4720   -0.5995    0.1180
         0         0         0         0         0         0   -2.0303   -0.5995    2.0303   -0.5995
         0         0         0         0         0         0    0.5995    0.1180   -0.5995    0.2360
10 10
    0.1499    0.0125    0.0519   -0.0074         0         0         0         0         0         0
    0.0125    0.0013    0.0074   -0.0010         0         0         0         0         0         0
    0.0519    0.0074    0.2998         0    0.0519   -0.0074         0         0         0         0
   -0.0074   -0.0010         0    0.0027    0.0074   -0.0010         0         0         0         0
         0         0    0.0519    0.0074    0.2998         0    0.0519   -0.0074         0         0
         0         0   -0.0074   -0.0010         0    0.0027    0.0074   -0.0010         0         0
         0         0         0         0    0.0519    0.0074    0.2998         0    0.0519   -0.0074
         0         0         0         0   -0.0074   -0.0010         0    0.0027    0.0074   -0.0010
         0         0         0         0         0         0    0.0519    0.0074    0.1499   -0.0125
         0         0         0         0         0         0   -0.0074   -0.0010   -0.0125    0.0013
10 1
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.0
